Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Lag Period		START	28.987	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		START	1416.021	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	1417.954	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		First Touch		POINT	2710.115	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		START	3276.413	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		STOP	3978.898	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		START	4032.411	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		STOP	5418.177	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		STOP	5420.153	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Courtship		START	5480.921	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		START	5660.739	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		STOP	6021.069	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Flee		POINT	6040.484	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		START	6160.549	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4	NA	NA	
Set #08 Focals J183 x H26	2022-02-08 14:17:01		14436.184	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0005.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0006.MP4	2921.280;2921.280;2921.280;2921.280;2762.400;17.760	100.000;100.000;100.000;100.000;100.000;100.000		Mount		STOP	6341.078	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #8 J183 x H26/Focals J183 x H26/C0003.MP4	NA	NA	
