"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"113","Set #07 Focal J144 x Non-focal G38","J144","G38","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-28,"1",FALSE,"Na","Extremly long potential copulation with both palps. Didn't lead to breakage, but counting as copulation","Top mesh",TRUE,"T",TRUE,"F",NA,"15/03/2021",105,"7/06/2021",21,115,447.583,0,1,0,8,5392.767,674.095875,8,2001.946,250.24325,TRUE,"both",1.11000000000058,1.61999999999989,TRUE,"right",FALSE,FALSE,FALSE,14485.92,FALSE,NA,2895.581,1948.178,5898.411,FALSE,TRUE,FALSE,TRUE
"48","Attempt 48 J141 x H64","J141","H64","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-29,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"14/04/2021",76,"5/05/2021",55,48,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14549.28,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"118","Set #07 Non-focal H54 x Focal G39","H54","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-29,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left",NA,NA,"26/05/2021",34,120,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"127","Set #08 Focals J183 x H26","J183","H26","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-29,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Right","15/04/2021",75,"2/04/2021",88,129,1388.967,0,0,2,2,8243.141,4121.5705,9,5481.91,609.101111111112,TRUE,"right",NA,0.25,FALSE,NA,FALSE,TRUE,TRUE,14465.28,FALSE,NA,3247.426,2681.128,9690.393,FALSE,TRUE,FALSE,FALSE
"49","Attempt 49 J131 x G33","J131","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","6/04/2021",86,"19/05/2021",43,49,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14559.84,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"50","Attempt 50 J170 x G36","J170","G36","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"9/04/2021",83,"19/05/2021",43,50,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14588.16,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"51","Attempt 51 J105 x J215","J105","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"4",TRUE,"Female Aggression","","Top mesh",FALSE,"T",TRUE,"","","15/04/2021",77,NA,NA,51,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,438.72,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"114","Set #07 Focal J144 x Non-focal H52","J144","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","15/03/2021",108,"7/04/2021",85,116,NA,1,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14569.44,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"52","Attempt 52 J201 x J210","J201","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"19/04/2021",74,"2/06/2021",30,52,1070.525,0,0,5,5,12810.535,2562.107,23,10102.977,439.259869565217,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,NA,2451.283,2034.962,NA,FALSE,TRUE,FALSE,FALSE
"53","Attempt 53 J113 x G37","J113","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/05/2021",42,"2/06/2021",30,53,NA,0,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14695.68,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"123","Set #07 Non-focal J196 x G39","J196","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"2",FALSE,"Na","Notes of palp breakage inconsistent, check specimen to confirm copulation in this trial","Top mesh",FALSE,"T",TRUE,"T","Left","28/04/2021",65,"26/05/2021",37,125,2168.611,0,0,1,6,10289.793,1714.9655,7,3687.118,526.731142857143,TRUE,"right",NA,0.423999999999069,TRUE,"right",FALSE,FALSE,FALSE,14521.92,FALSE,NA,4788.783,4648.279,8895.098,FALSE,TRUE,TRUE,FALSE
"126","Set #08 Focal J183 x Non-focal J212","J183","J212","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"1",FALSE,"Na","Male has slight damage to forelegs","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",78,"21/05/2021",42,128,2583.427,0,1,12,13,9063.994,697.230307692308,22,3914.73899999999,177.942681818182,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14550.24,FALSE,NA,6301.191,3257.24,NA,FALSE,TRUE,FALSE,TRUE
"54","Attempt 54 H20 x J161","J20","J161","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"3",TRUE,"Kill","","Top mesh",FALSE,"T",TRUE,"F",NA,NA,NA,"30/03/2021",97,54,2232.46,0,0,0,1,70.3429999999998,70.3429999999998,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,2460.48,TRUE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"55","Attempt 55 G30 x G32","G30","G32","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"21/04/2021",75,"14/06/2021",21,55,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14419.68,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"117","Set #07 Non-focal H15 x Focal G39","H15","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","24/04/2021",72,"26/05/2021",40,119,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14498.4,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"124","Set #08 Focal J183 x Non-focal G35","J183","G35","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",81,"2/06/2021",33,126,1940.79,2,2,8,7,5811.339,830.191285714286,6,1177.014,196.169,TRUE,"left",0.171000000000276,NA,FALSE,NA,FALSE,FALSE,FALSE,14469.12,FALSE,4169.325,3834.61,3451.64,8128.443,FALSE,TRUE,FALSE,TRUE
"56","Attempt 56 J121 x G42","J121","G42","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",82,"24/05/2021",43,56,1238.171,0,2,1,4,11828.722,2957.1805,19,8886.821,467.727421052631,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14495.52,FALSE,NA,1749.316,1405.084,NA,FALSE,TRUE,FALSE,FALSE
"57","Attempt 57 J187 x G16","J187","G16","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"19/03/2021",109,"19/04/2021",78,57,7821.662,1,0,3,4,6094.012,1523.503,7,5398.743,771.249,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14475.84,FALSE,7678.084,8852.907,8756.784,NA,FALSE,TRUE,FALSE,FALSE
"58","Attempt 58 H44 x H71","H44","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",82,"26/05/2021",41,58,4669.169,0,1,3,8,9420.169,1177.521125,21,7059.348,336.159428571428,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14476.32,FALSE,NA,5236.999,4753.914,NA,FALSE,TRUE,FALSE,FALSE
"131","Set #09 Focals J110 x H67","J110","H67","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","21/04/2021",76,"26/05/2021",41,133,3025.857,0,2,0,5,6278.576,1255.7152,10,2652.229,265.2229,TRUE,"both",0.420000000000073,0.996999999999389,FALSE,NA,FALSE,FALSE,FALSE,14486.88,FALSE,NA,3618.731,3335.547,4646.97,FALSE,TRUE,FALSE,FALSE
"59","Attempt 59 J104 x H75","J104","H75","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","23/03/2021",106,"2/06/2021",35,59,NA,0,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14432.16,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"122","Set #07 Non-focal J188 x Focal G39","J188","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","22/03/2021",107,"26/05/2021",42,124,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14457.6,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"125","Set #08 Focal J183 x Non-focal J180","J183","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",83,"5/03/2021",124,127,1703.684,6,0,10,11,6689.017,608.092454545455,9,953.754999999997,105.972777777777,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14487.84,FALSE,1838.515,6846.039,5150.749,NA,FALSE,TRUE,FALSE,TRUE
"137","Set #10 Focals G26 x J203","G26","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","9/04/2021",89,"21/04/2021",77,139,7854.411,2,0,1,4,5895.888,1473.972,9,3535.13,392.792222222222,TRUE,"left",0.239999999999782,NA,TRUE,"left",FALSE,FALSE,FALSE,14423.52,FALSE,12148.749,8697.403,7986.382,14090.119,FALSE,TRUE,FALSE,FALSE
"129","Set #09 Focal J110 x Non-focal J140","J110","J140","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-09,"1",TRUE,"Kill","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",79,"20/01/2021",170,131,1335.054,0,1,0,5,5306.065,1061.213,4,3163.985,790.99625,FALSE,NA,NA,NA,TRUE,"left",TRUE,FALSE,TRUE,7969.92,TRUE,NA,3150.919,2469.809,NA,FALSE,TRUE,FALSE,TRUE
"135","Set #10 Focal G26 x Non-focal H37","G26","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-09,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"9/04/2021",91,"12/03/2021",119,137,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14429.76,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"141","Set #10 Non-focal J197 x Focal J203","J197","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-09,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","6/04/2021",94,"21/04/2021",79,143,6273.058,0,0,0,6,7309.554,1218.259,19,1802.01000000001,94.842631578948,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14395.68,TRUE,NA,8321.341,6404.883,NA,FALSE,TRUE,TRUE,FALSE
"60","Attempt 60 H61 x J132","H61","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","22/04/2021",81,"7/04/2021",96,60,7910.136,0,0,1,2,6534.574,3267.287,22,1500.657,68.2116818181818,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14477.28,FALSE,NA,10445.417,9817.655,NA,FALSE,TRUE,FALSE,FALSE
"119","Set #07 Non-focal H57 x Focal G39","H54","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left",NA,NA,"26/05/2021",47,121,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14502.72,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"128","Set #09 Focal J110 x Non-focal J133","J110","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",82,"10/03/2021",124,130,1733.584,0,0,1,4,12543.001,3135.75025,8,9597.095,1199.636875,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14484,FALSE,NA,2946.908,NA,NA,FALSE,TRUE,FALSE,TRUE
"136","Set #10 Focal G26 x Non-focal H73","G26","H73","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","9/04/2021",94,"21/05/2021",52,138,11013.597,1,0,1,1,216.524000000001,216.524000000001,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,11227.872,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"93","Set #03 Focal J189 x Non-focal H75","J189","H75","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-13,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","15/04/2021",89,"2/06/2021",41,94,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14583.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"132","Set #09 Non-focal J157 x Focal H67","J157","H67","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-13,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Both","15/04/2021",89,"26/05/2021",48,134,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14570.4,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"140","Set #10 Non-focal J182 x Focal J203","J182","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-13,"1",FALSE,"Na","male attempted with l;eft palp, despite that embolus being broken already","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",89,"21/04/2021",83,142,7355.037,1,0,1,3,5908.357,1969.45233333333,5,3591.945,718.389,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14553.6,FALSE,12768.415,9031.465,8229.505,NA,FALSE,TRUE,TRUE,FALSE
"61","Attempt 61 J148 x G37","J148","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"28/04/2021",77,"2/06/2021",42,61,3547.641,3,0,6,1,1273.749,1273.749,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14496.48,FALSE,9454.1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"121","Set #07 Non-focal J176 x Focal G39","J176","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","22/03/2021",114,"26/05/2021",49,123,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14491.2,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"130","Set #09 Focal J110 x Non-focal J215","J110","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","21/04/2021",84,NA,NA,132,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14506.08,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"134","Set #10 Focal G26 x Non-focal G33","G26","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","9/04/2021",96,"19/05/2021",56,136,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14538.24,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"62","Attempt 62 J123 x H64","J123","H64","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-15,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"21/04/2021",85,"5/05/2021",71,62,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14499.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"63","Attempt 64 J125 x J210","J125","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-15,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",91,"2/06/2021",43,64,10930.134,0,1,2,3,3297.028,1099.00933333333,4,1122.308,280.577,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14523.84,FALSE,NA,13024.189,11949.589,NA,FALSE,TRUE,FALSE,FALSE
"64","Attempt 65 J122 x G36","J122","G36","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"9/04/2021",98,"19/05/2021",58,65,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14498.88,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"65","Attempt 66 J103 x G32","J103","G32","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",86,"14/06/2021",32,66,8347.293,0,1,1,4,6023.544,1505.886,8,4235.991,529.498875,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14508.96,FALSE,NA,9336.613,8442.943,NA,FALSE,TRUE,FALSE,FALSE
"138","Set #10 Non-focal G09 x Focal J203","G09","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","16/04/2021",91,"21/04/2021",86,140,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14495.52,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"145","Set #11 Focals H30 x H71","H30","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","16/04/2021",91,"26/05/2021",51,147,5207.286,2,0,1,3,9011.74,3003.91333333333,17,6048.389,355.787588235294,TRUE,"left",0.22899999999936,NA,FALSE,NA,FALSE,FALSE,FALSE,14488.8,FALSE,9748.622,6618.923,5578.261,9748.372,FALSE,TRUE,FALSE,FALSE
"66","Attempt 67 H34 x H52","H34","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-19,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","16/04/2021",94,"7/04/2021",103,67,7017.377,1,0,1,2,6840.697,3420.3485,9,2254.369,250.485444444445,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14421.6,FALSE,7451.187,10289.758,7060.137,NA,FALSE,TRUE,FALSE,FALSE
"139","Set #10 Non-focal J135 x Focal J203","J135","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-19,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","15/03/2021",126,"21/04/2021",89,141,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14475.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"67","Attempt 68 J163 x H37","J163","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-20,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"30/03/2021",112,"12/03/2021",130,68,6338.081,1,0,3,6,7106.873,1184.47883333333,10,3738.2,373.82,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14568.48,FALSE,9213.331,6920.846,6588.766,NA,FALSE,TRUE,FALSE,FALSE
