"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"2","Attempt 01 G06 x G03","G06","G03","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-17,"Only Trial",FALSE,"Na","Male does seem to make contact with epigyne using left palp, check emboli","Basic",TRUE,"F",TRUE,2,277.993,3,0,6,12,17025.181,1418.76508333333,11,12398.753,1127.15936363636,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,18953.28,FALSE,292.978,3997.57,2552.553,NA,FALSE,TRUE,FALSE,FALSE
"3","Attempt 02 G28 x J03","G28","J03","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-22,"Only Trial",FALSE,"Na","Female made kill despite trial length","Basic",TRUE,"F",TRUE,3,5529.648,0,0,3,5,8805.58,1761.116,7,5024.757,717.822428571428,TRUE,"left",0.139999999999418,NA,TRUE,"left",FALSE,TRUE,TRUE,15407.188,FALSE,NA,7310.86,5682.213,14535.914,FALSE,TRUE,FALSE,FALSE
"4","Attempt 03 H36 x J43","H36","J43","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-24,"Only Trial",TRUE,"Kill","","Basic",TRUE,"F",TRUE,4,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,975.84,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"5","Attempt 04 J193 x G11","J193","G11","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-26,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,5,637,1,0,2,1,272.693,272.693,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14466.72,FALSE,2758.511,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"6","Attempt 05 J138 x H35","J138","H35","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-26,"Black mesh Trial",TRUE,"Female Aggression","","Basic",TRUE,"F",TRUE,6,8704.149,4,1,5,4,3404.258,851.0645,1,3.49599999999919,3.49599999999919,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14316,TRUE,6063.689,14179.334,10935.717,NA,FALSE,TRUE,FALSE,FALSE
"7","Attempt 06 J124 x G11","J124","G11","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-30,"Black mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,7,NA,0,0,1,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14487.84,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"8","Attempt 07 H63 x H35","H63","H35","Dolomedes minor","Dolomedes minor","minor x minor",2021-03-30,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,8,631.214,1,0,1,1,3427.022,3427.022,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14500.32,FALSE,4055.181,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"9","Attempt 08 G28 x G24","G28","G24","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-01,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",FALSE,9,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14496,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"10","Attempt 09 H36 x H27","H36","H27","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-01,"Black mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,10,2895.13,2,0,4,6,3856.985,642.830833333333,9,2719.904,302.211555555556,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14468.16,FALSE,4808.654,2971.038,2969.484,NA,FALSE,TRUE,FALSE,FALSE
"11","Attempt 10 G29 x J114","G29","J114","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-02,"White Mesh Trial",TRUE,"Kill","","Basic",TRUE,"F",TRUE,11,325.836,0,0,0,1,1083.803,1083.803,0,0,0,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,1452,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"12","Attempt 11 G06 x J79","G06","J79","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-02,"Black mesh Trial",FALSE,"Na","Camera 1-2 file corrupted, trial extended","Basic",TRUE,"F",TRUE,12,11074.716,0,0,6,14,14030.803,1002.20021428571,20,12869.318,643.4659,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,25314.72,FALSE,NA,11619.154,11098.806,NA,FALSE,TRUE,FALSE,FALSE
"13","Attempt 12 J187 x J133","J187","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-12,"White Mesh Trial",TRUE,"Female Aggression","Female nearly made kill","Basic",TRUE,"F",TRUE,13,31.427,5,0,8,7,2300.507,328.643857142857,8,541.801,67.725125,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,10684.8,TRUE,286.974,2776.026,2666.747,NA,FALSE,TRUE,FALSE,FALSE
"14","Attempt 13 J192 x J127","J192","J127","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-12,"Black mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,14,NA,1,0,1,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14416.8,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"15","Attempt 14 J176 x J180","J176","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-14,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,15,NA,1,0,1,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14519.04,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"16","Attempt 15 J184 x H56","J184","H56","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-14,"Black mesh Trial",TRUE,"Female Aggression","","Basic",TRUE,"F",TRUE,16,4304.982,2,0,2,1,16.0820000000003,16.0820000000003,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,4629.6,TRUE,4318.054,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"17","Attempt 16 H62 x H37","H62","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-20,"Black mesh Trial",TRUE,"","","Basic",TRUE,"T",TRUE,17,612.132,2,0,2,3,7264.068,2421.356,2,3164.023,1582.0115,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14390.4,TRUE,2123.52,1323.367,1070.85,NA,FALSE,TRUE,FALSE,FALSE
"18","Attempt 17 J138 x G11","J138","G11","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-20,"White Mesh Trial",TRUE,"Kill","","Basic",TRUE,"T",TRUE,18,NA,1,0,1,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,815.04,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"19","Attempt 18 G29 x J149","G29","J149","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-22,"1",FALSE,"Na","","Sloped",TRUE,"T",TRUE,19,920.356,3,0,3,1,15,15,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14513.76,FALSE,933.104,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"20","Attempt 19 H36 x J119","H36","J119","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-22,"2",FALSE,"Na","Camera 1 (C0001) corrupted","Sloped",TRUE,"T",TRUE,20,2606.443,0,0,5,7,5419.372,774.196,7,3370.271,481.467285714286,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14447.04,FALSE,NA,3692.928,2702.718,NA,FALSE,TRUE,FALSE,FALSE
"21","Attempt 20 J187 x J161","J187","J161","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-23,"1",FALSE,"Na","Run overnight needs to be combined","Sloped",TRUE,"T",TRUE,21,2670.449,1,0,7,9,35289.91,3921.10111111111,18,23615.499,1311.97216666667,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,62360.24,FALSE,10801.637,3393.389,3108.342,NA,FALSE,TRUE,FALSE,FALSE
"22","Attempt 22 J148 x J208","J148","J208","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-29,"1",FALSE,"Na","Tradescantia used","Sloped",TRUE,"Na",FALSE,22,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14536.8,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"23","Attempt 23 J192 x J132","J192","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-30,"1",FALSE,"Na","Tradescantia used","Sloped",TRUE,"Na",TRUE,23,1367.902,0,0,4,3,4755.242,1585.08066666667,7,3058.292,436.898857142857,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14505.6,FALSE,NA,1692.839,1371.964,NA,FALSE,TRUE,FALSE,FALSE
"24","Attempt 24 J185 x G16","J185","G16","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-30,"2",FALSE,"Na","Tradescantia used","Sloped",TRUE,"Na",TRUE,24,5475.322,0,0,9,12,8557.491,713.12425,22,5073.959,230.6345,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,14502.72,FALSE,NA,5823.857,5667.985,NA,FALSE,TRUE,FALSE,FALSE
"25","Attempt 25 J199 x J180","J199","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-05,"1",FALSE,"Na","Tradescantia used","Top mesh",TRUE,"Na",TRUE,25,NA,3,0,3,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14556.48,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"26","Attempt 26 J200 x J134","J200","J134","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-05,"2",FALSE,"Na","Tradescantia used","Top mesh",TRUE,"Na",TRUE,27,480.19,2,0,3,3,3273.622,1091.20733333333,5,773.641000000001,154.7282,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14482.56,FALSE,3085.36,2235.512,1752.577,NA,FALSE,TRUE,FALSE,FALSE
"27","Attempt 27 J195 x G13","J195","G13","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-07,"1",FALSE,"Na","Camera 2-1 corrupted","Top mesh",TRUE,"T",TRUE,29,108.843,2,0,3,2,4009.876,2004.938,5,2999.195,599.839,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14532,FALSE,1336.488,630.433,398.873,NA,FALSE,TRUE,FALSE,FALSE
"81","Set #01 Focals J191 x J68","J191","J68","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-07,"",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,85,2904.655,1,0,5,4,6430.003,1607.50075,14,5013.094,358.078142857143,TRUE,"left",1.5010000000002,NA,TRUE,"both",FALSE,FALSE,FALSE,14460,FALSE,9461.758,3255.685,3108.033,9460.377,FALSE,TRUE,FALSE,FALSE
"28","Attempt 28 J179 x J140","J179","J140","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-11,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,31,3253.703,0,0,3,4,10401.875,2600.46875,31,6018.614,194.148838709677,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14511.84,FALSE,NA,5053.091,4742.133,NA,FALSE,TRUE,FALSE,FALSE
"88","Set #02 Focals J190 x J42","J190","J42","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-11,"2",TRUE,"Kill","Based copulation duration off when male originallt stops moving. Male remains with palp inserted for a long time post mortum. This is noted with a Bookmark","Top mesh",TRUE,"T",TRUE,92,665.758,2,0,2,3,2707.959,902.653,5,1250.585,250.117,TRUE,"left",19.4249999999997,NA,TRUE,"both",FALSE,TRUE,TRUE,5024.64,TRUE,1617.996,1059.066,958.758,3539.866,FALSE,TRUE,FALSE,FALSE
"79","Set #01 Focal J191 x Non-focal J109","J191","J109","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-13,"Only Trial",FALSE,"Na","Trialling high speed capture, unsure of date: after 07/05, but likely before 15/05, date inferred from earliest modication date in files 13/05. Not 100% sure of pedipalp used for copulation, seems like left, but at the time I noted right","Top mesh",TRUE,"T",TRUE,83,2915.064,0,6,0,9,6398.395,710.932777777778,7,2402.181,343.168714285715,TRUE,"left",3.51299999999901,NA,TRUE,"both",FALSE,FALSE,FALSE,14533.92,FALSE,NA,8691.95,5528.412,11996.346,FALSE,TRUE,FALSE,TRUE
"82","Set #01 Non-focal J145 x Focal J68","J145","J68","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-15,"2",TRUE,"Kill","","Top mesh",TRUE,"T",TRUE,86,242.422,1,1,0,8,5131.408,641.426,13,3653.63,281.048461538461,TRUE,"right",NA,0.3700000000008,TRUE,"right",FALSE,TRUE,TRUE,5919.84,TRUE,1944.866,836.381,643.399,5664.574,FALSE,TRUE,TRUE,FALSE
"77","Set #01 Focal J191 x Non-focal G16","J191","G16","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-18,"2",FALSE,"Na","Trialling high speed capture","Top mesh",TRUE,"T",TRUE,81,3407.768,1,0,1,1,115.601,115.601,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14554.56,FALSE,3516.579,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"83","Set #01.5 Focal Male J109 Non- Focal H60 x Focal J109","H60","J109","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-20,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,87,1843.131,1,0,1,4,12054.01,3013.5025,5,9629.476,1925.8952,TRUE,"right",NA,0.320000000000164,FALSE,NA,FALSE,FALSE,FALSE,14536.32,FALSE,3499.211,2372.556,2253.618,3498.891,FALSE,TRUE,TRUE,FALSE
"86","Set #02 Focal J190 x Non-focal J150","J190","J150","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-20,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,90,10323.519,2,1,7,3,1712.052,570.684,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14494.56,FALSE,11931.444,NA,11575.422,NA,FALSE,TRUE,FALSE,TRUE
"30","Attempt 31 J182 x J133","J182","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-21,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,33,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14472.96,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"92","Set #03 Focals J189 x J112","J189","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-21,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,97,2729.858,1,0,2,5,6582.636,1316.5272,12,4805.296,400.441333333333,TRUE,"left",0.34900000000016,NA,TRUE,"left",FALSE,FALSE,FALSE,14428.8,FALSE,9386.559,3918.12,3811.163,9386.309,FALSE,TRUE,FALSE,FALSE
"80","Set #01 Focal J191 x Non-focal J132","J191","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-24,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,84,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14445.6,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"84","Set #01.5 Focal Male J109 Non-focal J157 x Focal J109","J157","J109","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-24,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,88,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14446.56,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"85","Set #02 Focal J190 x Non-focal H46","J190","H46","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-24,"1",FALSE,"Na","No damage to male emboli after trial. Two attempted copulations that look like they could be copulations though, both bookmarked","Top mesh",FALSE,"T",TRUE,89,3154.609,2,0,5,14,10575.23,755.373571428571,27,5233.116,193.819111111111,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14518.56,FALSE,5991.221,3769.269,3423.471,NA,FALSE,TRUE,FALSE,TRUE
"90","Set #03 Focal J189 x Non-focal H38","J189","H38","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-25,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,94,NA,3,0,3,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14484.96,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"95","Set #03 Non-focal J137 x Focal J112","J137","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-25,"2",FALSE,"Na","male damage to right palp","Top mesh",TRUE,"T",TRUE,100,7023.34,1,0,2,3,6871.013,2290.33766666667,9,4299.674,477.741555555556,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14491.2,FALSE,13609.605,7997.247,7732.135,NA,FALSE,TRUE,TRUE,FALSE
"31","Attempt 32 J125 x J203","J125","H203","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-27,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,34,3199.744,1,0,1,1,41.9569999999999,41.9569999999999,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14504.16,FALSE,3233.892,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"32","Attempt 33 J123 x H52","J123","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-27,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,35,5941.605,0,0,4,6,8255.341,1375.89016666667,32,3235.856,101.1205,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14520,FALSE,NA,7774.857,6860.615,NA,FALSE,TRUE,FALSE,FALSE
"89","Set #03 Focal J189 x Non-focal H37","J189","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-28,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,93,4867.904,0,0,2,3,3025.227,1008.409,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14456.64,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"93","Set #03 Non-focal J108 x Focal J112","J108","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-28,"2",FALSE,"Na","male damage to right palp","Top mesh",TRUE,"T",TRUE,98,4047.433,0,0,2,2,1359.402,679.701,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14461.92,FALSE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"91","Set #03 Focal J189 x Non-focal J119","J189","J119","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-04,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,95,6166.874,1,0,6,7,6762.928,966.132571428572,11,4512.547,410.231545454545,TRUE,"left",0.219999999999345,NA,FALSE,NA,FALSE,FALSE,FALSE,14517.12,FALSE,13756.572,8202.557,7919.509,13756.362,FALSE,TRUE,FALSE,TRUE
"94","Set #03 Non-focal J126 x Focal J112","J126","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-04,"2",FALSE,"Na","male damage to right palp","Top mesh",TRUE,"T",FALSE,99,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14475.84,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"33","Attempt 34 J61 x J149","J61","J149","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-07,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,36,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14477.28,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"34","Attempt 35 J103 x H26","J103","H26","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-07,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,37,NA,0,0,1,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"99","Set #04 Focals J101 x J204","J101","J204","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-08,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,104,1416.947,1,0,2,4,8963.517,2240.87925,8,8115.772,1014.4715,TRUE,"both",0.208999999998923,0.208999999999833,TRUE,"right",FALSE,TRUE,TRUE,11919.36,TRUE,6856.88,1614.535,1445.147,6856.671,FALSE,TRUE,FALSE,FALSE
"105","Set #05 Focals J102 x J206","J102","J206","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-08,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,110,402.325,1,1,4,5,11550.497,2310.0994,15,8037.581,535.838733333333,TRUE,"left",0.389999999999418,NA,TRUE,"right",FALSE,FALSE,FALSE,14452.8,FALSE,12398.848,3225.23,NA,12398.458,FALSE,TRUE,FALSE,FALSE
"1","Aborted Trial H61 x J119","H61","J119","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-10,"1",TRUE,"Male possibly injured from freezer","Male possibly injured from freezer","Basic",TRUE,"F",TRUE,1,NA,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,2175.36,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"35","Attempt 36 J116 x J208","J116","J208","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-10,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,38,5449.108,0,0,0,4,3370.985,842.74625,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14338.08,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"29","Attempt 29 H47 x J214","H47","J214","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-11,"1",FALSE,"Na","Numbered in wrong order (should be later than 29), but doesn't really matter.","Top mesh",TRUE,"T",TRUE,32,1412.891,0,0,1,2,12937.357,6468.6785,6,10246.241,1707.70683333333,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14487.36,FALSE,NA,3038.734,2932.919,NA,FALSE,TRUE,FALSE,FALSE
